gpsWeek	gpsTow	day	mon	year	hour	min	sec	ecef_x_m	ecef_y_m	ecef_z_m	enlem_deg	boylam_deg	irtifa_m_msl	irtifa_m_ell
2169	472039.998000	6	8	2021	11	7	19	4208119.410000	2335565.057000	4171659.269000	41.108734	29.030887	160.520000	197.893000
2169	472040.998000	6	8	2021	11	7	20	4208119.422000	2335565.186000	4171659.260000	41.108733	29.030887	160.588000	197.969000
2169	472041.998000	6	8	2021	11	7	21	4208119.565000	2335565.218000	4171659.264000	41.108733	29.030888	160.698000	198.080000
2169	472042.998000	6	8	2021	11	7	22	4208119.571000	2335565.310000	4171659.269000	41.108733	29.030888	160.753000	198.134000
2169	472043.998000	6	8	2021	11	7	23	4208119.689000	2335565.414000	4171659.321000	41.108733	29.030889	160.855000	198.228000
2169	472044.998000	6	8	2021	11	7	24	4208119.662000	2335565.398000	4171659.406000	41.108732	29.030889	160.923000	198.296000
2169	472045.998000	6	8	2021	11	7	25	4208119.793000	2335565.433000	4171659.582000	41.108733	29.030889	161.098000	198.471000
2169	472046.998000	6	8	2021	11	7	26	4208119.819000	2335565.551000	4171659.654000	41.108733	29.030889	161.234000	198.616000
2169	472047.998000	6	8	2021	11	7	27	4208119.902000	2335565.558000	4171659.748000	41.108734	29.030889	161.363000	198.745000
2169	472048.998000	6	8	2021	11	7	28	4208119.964000	2335565.625000	4171659.805000	41.108734	29.030889	161.453000	198.825000
2169	472049.998000	6	8	2021	11	7	29	4208119.998000	2335565.631000	4171659.990000	41.108734	29.030889	161.594000	198.967000
2169	472050.998000	6	8	2021	11	7	30	4208120.071000	2335565.684000	4171660.099000	41.108735	29.030889	161.708000	199.090000
2169	472051.998000	6	8	2021	11	7	31	4208120.084000	2335565.724000	4171659.768000	41.108732	29.030890	161.549000	198.931000
2169	472052.998000	6	8	2021	11	7	32	4208120.046000	2335565.846000	4171659.562000	41.108730	29.030891	161.453000	198.835000
